'english_word';'russian_translation'
'check';'проверять'
'cheek';'щека'
'cheer';'радость'
'chef';'повар'
'chemical';'химический'
'cheque';'проверять'
'chess';'шахматы'
'chest';'грудь'
'childhood';'детство'
'chili';'перец чили'
'chimpanzee';'шимпанзе'
'chin';'подбородок'
'chirp';'чирикать'
'choice';'выбор'
'cigarette';'сигарета'
'citizen';'гражданин'
'claim';'требовать'
'classic';'классический'
'classical music';'классическая музыка'
'cleaner';'чище'
'clear';'прозрачный'
'clearly';'четко'
'clerk';'клерк'
'click';'щелкнуть'
'climb';'взбираться'
'climbing';'восхождение'
'clone';'клонировать'
'clown';'клоун'
'clue';'зацепка'
'coast';'побережье'
'coin';'монета'
'cola';'кола'
'colorful';'красочный'
'column';'столбец'
'comb';'гребень'
'comfortable';'комфортный'
'comic';'комикс'
'commitment';'обязательство'
'committee';'комитет'
'common';'общий'
'communicate';'общаться'
'communication';'коммуникация'
'company';'компания'
'comparative';'сравнительный'
'compare';'сравнивать'
'competition';'соревнование'
'complain';'жаловаться'
'complaint';'жалоба'
'complete';'полный'
'composer';'композитор'
'concentrate';'сконцентрироваться'
'concern';'беспокойство'
'condition';'состояние'
'confident';'уверенный'
'confuse';'путать'
'confused';'смущенный'
'consequence';'последствие'
'consider';'учитывать'
'consist';'состоять'
'contact';'контакт'
'container';'контейнер'
'context';'контекст'
'continent';'континент'
'continue';'продолжать'
'contrast';'контраст'
'control';'контроль'
'convenience';'удобство'
'convenient';'удобный'
'cooker';'плита'
'cooking';'приготовление пищи'
'cooler';'круче'
'copy';'копировать'
'correctly';'правильно'
'cost';'расходы'
'count';'считать'
'country';'страна'
'countryside';'сельская местность'
'couple';'пара'
'court';'суд'
'cover';'крышка'
'crazy';'сумасшедший'
'cream';'крем'
'create';'создавать'
'creative';'творческий'
'creativity';'креативность'
'creature';'существо'
'credit';'кредит'
'cricket';'крикет'
'crime';'преступление'
'crisp';'свежий'
'criticize';'критиковать'
'cross';'крест'
'crowd';'толпа'
'crowded';'переполненный'
'crown';'корона'
'cruise';'круиз'
'cry';'плакать'
'cupboard';'буфет'
'curry';'карри'
'curse';'проклинать'
'custom';'обычай'
'customer';'клиент'
'cycling';'езда на велосипеде'
'daily';'ежедневно'
'dam';'плотина'
'dancer';'танцор'
'danger';'Опасность'
'dangerous';'опасный'
'daylight';'дневной свет'
'dead';'мертвый'
'deal';'иметь дело'
'death';'смерть'
'debate';'дебаты'
'decide';'решать'
'deep';'глубокий'
'deeply';'глубоко'
'degree';'степень'
'delay';'задерживать'
'dentist';'дантист'
'department store';'универмаг'
'depend';'зависеть'
'description';'описание'
'desert';'пустыня'
'dessert';'десерт'
'destroy';'разрушать'
'detail';'деталь'
'develop';'развивать'
'developed';'развитый'
'diamond';'алмаз'
'diary';'дневник'
'die';'умереть'
'diet';'диета'
'differently';'по-другому'
'difficulty';'трудность'
'digital camera';'цифровая камера'
'dinosaur';'динозавр'
'direct';'прямой'
'direction';'направление'
'director';'директор'
'disadvantage';'недостаток'
'disagree';'не согласен'
'disappear';'пропадать'
'disappointed';'расстроенный'
'disappointing';'разочаровывающий'
'disco';'дискотека'
'discover';'обнаружить'
'discussion';'обсуждение'
'dishonest';'нечестный'
'dislike';'не нравится'
'display';'отображать'
'disturb';'беспокоить'
'divide';'разделять'
'dizzy';'испытывающий головокружение'
'done';'сделанный'
'double';'двойной'
'doubt';'сомневаться'
'down';'вниз'
'download';'скачать'
'downstairs';'внизу'
'downtown';'центр города'
'draw';'рисовать'
'drawer';'ящик'
'drawing';'рисунок'
'dream';'мечтать'
'dress';'одеваться'
'dressed';'одет'
'drill';'сверлить'
'drive';'водить машину'
'driver license';'водительское удостоверение'
'drop';'уронить'
'drug';'лекарство'
'drugstore';'аптека'
'dry';'сухой'
'duck';'утка'
'during';'в течение'
'dust';'пыль'
'early';'рано'
'earn';'зарабатывать'
'earring';'серьга'
'earth';'земля'
'earthquake';'землетрясение'
'easily';'легко'
'east';'восток'
'editor';'редактор'
'education';'образование'
'educational';'образовательный'
'effect';'эффект'
'effort';'усилие'
'either';'или'
'elderly';'пожилой'
'electric';'электрический'
'elephant';'слон'
'elevator';'лифт'
'elsewhere';'в другом месте'
'email';'электронная почта'
'embarrassing';'смущающий'
'emergency';'чрезвычайная ситуация'
'empty';'пустой'
'encourage';'поощрять'
'end';'конец'
'endangered';'находящихся под угрозой исчезновения'
'ending';'окончание'
'energetic';'энергичный'
'enormous';'громадный'
'enough';'достаточно'
'enter';'входить'
'entertainment';'развлечение'
'entrance';'вход'
'envelope';'конверт'
'envy';'завидовать'
'episode';'эпизод'
'error';'ошибка'
'escalator';'эскалатор'
'escape';'побег'
'especially';'особенно'
'essay';'эссе'
'establish';'учреждать'
'euro';'евро'
'even';'даже'
'ever';'всегда'
'evidence';'доказательство'
'exactly';'точно'
'exam';'экзамен'
'except';'кроме'
'exchange';'обмен'
'exercise';'упражнение'
'exhibition';'выставка'
'exist';'существовать'
'expect';'ожидать'
'experience';'опыт'
'expert';'эксперт'
'explain';'объяснять'
'explanation';'объяснение'
'explore';'исследовать'
'express';'выражать'
'expression';'выражение'
'extra';'дополнительный'
'extremely';'очень сильно'
'face';'лицо'
'fact';'факт'
'fail';'неудача'
'fairly';'весьма'
'fall';'падать'
'familiar';'привычный'
'fancy';'изысканный'
'fantastic';'фантастический'
'far';'далеко'
'fare';'стоимость проезда'
'fascinating';'очаровательный'
'fashion';'мода'
'fast food';'быстрое питание'
'fault';'вина'
'favor/favour';'благосклонность'
'fear';'страх'
'feather';'перо'
'feature';'особенность'
'fee';'платеж'
'feel';'чувствовать'
'female';'женский'
'fence';'изгородь'
'few';'немного'
'fiction';'вымысел'
'fighter';'боец'
'figure';'фигура'
'film';'фильм'
'final';'финальный'
'finally';'окончательно'
'first name';'имя'
'fisherman';'рыбак'
'fit';'соответствовать'
'fix';'исправить'
'flea';'блоха'
'flight';'полет'
'float';'плавать'
'flood';'наводнение'
'flour';'мука'
'fog';'туман'
'folder';'папка'
'follow';'следовать'
'fool';'дурак'
'footballer';'футболист'
'for';'для'
'forbid';'запретить'
'force';'сила'
'forest';'лес'
'forever';'навсегда'
'fork';'вилка'
'fortunately';'к счастью'
'fortune';'удача'
'forward';'вперед'
'frame';'рамка'
'frank';'откровенный'
'free';'бесплатно'
'freedom';'свобода'
'freeze';'заморозить'
'fresh';'свежий'
'fridge';'холодильник'
'fried';'жареный'
'friendship';'дружба'
'frighten';'пугать'
'frightened';'испуганный'
'frightening';'пугающий'
'front';'передний'
'fry';'жарить'
'fully';'полностью'
'function';'функция'
'furniture';'мебель'
'further';'дальше'
'gallery';'галерея'
'garage';'гараж'
'garlic';'чеснок'
'gas';'газ'
'gate';'ворота'
'gather';'собирать'
'gender';'пол'
'generation';'поколение'
'gentle';'нежный'
'given';'данный'
'globe';'глобус'
'glove';'перчатка'
'gold';'золото'
'golden';'золотой'
'golf';'гольф'
'good-looking';'хорошо выглядит'
'government';'правительство'
'grace';'милость'
'gradually';'постепенно'
'graduate';'выпускник'
'gram/gramme';'грамм'
'grandchild';'внук'
'granddad';'дедушка'
'granddaughter';'внучка'
'grandson';'внук'
'granny';'бабушка'
'grateful';'благодарный'
'greatly';'значительно'
'greedy';'жадный'
'green';'зеленый'
'grilled';'жареный на гриле'
'grocery store';'продуктовый магазин'
'guard';'сторожить'
'guidebook';'путеводитель'
'gun';'пистолет'
'half';'половина'
'half-price';'полцены'
'ham';'ветчина'
'hand';'рука'
'handbag';'сумочка'
'handicapped';'инвалид'
'handle';'ручка'
'happily';'счастливо'
'happiness';'счастье'
'hardly';'едва ли'
'harm';'вред'
'harmful';'вредный'
'harmony';'гармония'
'harvest';'урожай'
'hate';'ненавидеть'
'head';'голова'
'headphone';'наушники'
'headteacher';'директор школы'
'heat';'нагревать'
'heating';'обогрев'
'heavily';'сильно'
'help';'помощь'
'helpful';'полезный'
'hero';'герой'
'herself';'себя'
'hey';'привет'
'high';'высокий'
'high school';'средняя школа'
'highway';'шоссе'
'hike';'поход'
'hiking';'пеший туризм'
'himself';'сам'
'hip hop';'хип-хоп'
'hit';'ударять'
'hockey';'хоккей'
'hold';'держать'
'home';'дом'
'honey';'мед'
'honor';'честь'
'horror';'ужас'
'host';'хозяин'
'however';'однако'
'hug';'обнимать'
'human';'человек'
'hundred';'сто'
'hunter';'охотник'
'hurry';'торопиться'
'ID';'ИДЕНТИФИКАТОР'
'ID card';'Удостоверение личности'
'ill';'больной'
'illegal';'незаконный'
'image';'изображение'
'imagination';'воображение'
'impact';'влияние'
'impatient';'нетерпеливый'
'importance';'важность'
'importantly';'главное'
'impossible';'невозможный'
'impress';'произвести впечатление'
'improve';'улучшать'
'in';'в'
'inch';'дюйм'
'include';'включать'
'increase';'увеличивать'
'indeed';'действительно'
'independence';'независимость'
'indicate';'указывать'
'indoor';'крытый'
'inexpensive';'недорогой'
'influence';'влияние'
'injure';'ранить'
'inner';'внутренний'
'insect';'насекомое'
'inside';'внутри'
'inspiration';'вдохновение'
'instant';'мгновенный'
'instead';'вместо'
'instrument';'инструмент'
'intelligence';'интеллект'
'intelligent';'разумный'
'interest';'интерес'
'international';'международный'
'invade';'вторгаться'
'invent';'изобретать'
'invention';'изобретение'
'invite';'приглашать'
'issue';'проблема'
'it';'это'
'itself';'сам'
'jam';'варенье'
'jelly';'желе'
'joke';'шутить'
'journey';'путешествие'
'joy';'радость'
'junior';'младший'
'junk';'хлам'
'killer';'убийца'
'kilo';'килограмм'
'kilogram';'килограммы'
'kilometer/kilometre';'километр'
'kind';'добрый'
'kindly';'любезно'
'kingdom';'королевство'
'kit';'набор'
'knock';'стучать'
'knowledge';'знание'
'labor/labour';'труд'
'lack';'недостаток'
'lake';'озеро'
'lamp';'лампа'
'land';'земля'
'landscape';'пейзаж'
'lane';'переулок'
'last';'последний'
'latest';'последний'
'latter';'последний'
'law';'закон'
'lawyer';'адвокат'
'laziness';'лень'
'lead';'вести'
'learner';'ученик'
'least';'наименее'
'leather';'кожа'
'left';'левый'
'left-hand';'левая рука'
'leisure';'досуг'
'lemon';'лимон'
'lemonade';'лимонад'
'lend';'одалживать'
'less';'меньше'
'level';'уровень'
'liberty';'свобода'
'license';'лицензия'
'lie';'ложь'
'lifestyle';'образ жизни'
'likely';'вероятный'
'lip';'губа'
'liter/litre';'литр'
'lively';'живой'
'load';'нагрузка'
'local';'местный'
'lock';'замок'
'logical';'логичный'
'long';'длинный'
'loose';'свободный'
'lose';'терять'
'lost';'потерянный'
'lot';'много'
'loudly';'громко'
'lover';'возлюбленный'
'low';'низкий'
'luckily';'к счастью'
'lunchtime';'время обеда'
'lyric';'лирический'
'mad';'безумный'
'magic';'магия'
'main course';'основное блюдо'
'mainly';'главным образом'
'major';'главный'
'maker';'создатель'
'make-up';'составить'
'male';'мужской'
'mall';'торговый центр'
'manage';'управлять'
'manager';'менеджер'
'manner';'манера'
'mark';'отметка'
'market';'рынок'
'married';'женатый'
'marry';'жениться'
'marvelous';'чудесный'
'material';'материал'
'matter';'иметь значение'
'max';'Макс'
'mean';'иметь в виду'
'meaning';'значение'
'medal';'медаль'
'medical';'медицинский'
'melon';'дыня'
'member';'член'
'mention';'упомянуть'
'menu';'меню'
'metal';'металл'
'meter/metre';'метр'
'method';'метод'
'midday';'один'
'middle';'середина'
'midnight';'полночь'
'might';'мощь'
'military';'военный'
'million';'миллион'
'mind';'разум'
'mineral water';'минеральная вода'
'mirror';'зеркало'
'missing';'отсутствующий'
'mistake';'ошибка'
'mix';'смешивание'
'mobile';'мобильный'
'model';'модель'
'modern';'современный'
'mood';'настроение'
'mosque';'мечеть'
'most';'большинство'
'mostly';'по большей части'
'motorway';'автомагистраль'
'move';'двигаться'
'MP3 player';'MP3-плеер'
'Ms';'Мисс'
'mug';'кружка'
'murder';'убийство'
'museum';'музей'
'mushroom';'гриб'
'musical';'мюзикл'
'myself';'сам'
'mysterious';'загадочный'
'mystery';'тайна'
'napkin';'салфетка'
'nation';'нация'
'national';'национальный'
'native';'родной'
'natural';'естественный'
'nature';'природа'
'nearly';'около'
'necessary';'необходимый'
'need';'нуждаться'
'negative';'отрицательный'
'nervous';'нервный'
'net';'сеть'
'next';'следующий'
'next to';'рядом с'
'no one';'никто'
'nobody';'никто'
'noisy';'шумный'
'noon';'полдень'
'normal';'нормальный'
'north';'север'
'notice';'уведомление'
'noun';'существительное'
'novel';'роман'
'nowadays';'настоящее время'
'oak';'дуб'
'occupation';'занятие'
'off';'выключенный'
'offer';'предложение'
'official';'чиновник'
'oil';'масло'
'olive oil';'оливковое масло'
'Olympic';'Олимпийский'
'omelet';'омлет'
'on';'на'
'one';'один'
'onion';'лук'
'online';'онлайн'
'operate';'действовать'
'opinion';'мнение'
'opportunity';'возможность'
'oppose';'выступать против'
'opposite';'противоположный'
'order';'заказ'
'organize';'организовать'
'organized';'организованный'
'original';'оригинальный'
'orphan';'сирота'
'other';'другой'
'ourselves';'мы сами'
'out of';'из'
'outside';'снаружи'
'oven';'печь'
'over';'над'
'overseas';'за границей'
'overweight';'избыточный вес'
'own';'собственный'
'pacific';'Тихоокеанский'
'pack';'пакет'
'painter';'художник'
'pal';'приятель'
'pan';'кастрюля'
'panic';'паника'
'park';'парк'
'part';'часть'
'partly';'частично'
'pass';'проходить'
'passage';'проход'
'passenger';'пассажир'
'pasta';'макароны'
'path';'путь'
'patient';'пациент'
'PC';'ПК'
'pea';'горох'
'peaceful';'мирный'
'pear';'груша'
'pence';'пенсы'
'penfriend';'друг по переписке'
'pepper';'перец'
'perfect';'идеальный'
'perfectly';'идеально'
'perform';'выполнять'
'performance';'производительность'
'perfume';'духи'
'perhaps';'возможно'
'permission';'разрешение'
'personality';'личность'
'petrol';'бензин'
'petrol station';'заправочная станция'
'photograph';'фотография'
'photographer';'фотограф'
'photography';'фотография'
'physical';'физический'
'physically';'физически'
'pile';'куча'
'pilgrim';'паломник'
'pill';'таблетка'
'pilot';'пилот'
'pink';'розовый'
'pity';'жалость'
'planet';'планета'
'plant';'растение'
'plastic';'пластик'
'plate';'тарелка'
'playful';'игривый'
'playground';'детская площадка'
'pleasant';'приятный'
'pleased';'довольный'
'pleasing';'приятный'
'plenty';'множество'
'plural';'множественное число'
'plus';'плюс'
'point';'точка'
'police';'полиция'
'police officer';'полицейский'
'police station';'полицейский участок'
'policeman';'полицейский'
'policewoman';'женщина-полицейский'
'polite';'вежливый'
'political';'политический'
'pollute';'загрязнять'
'popular';'популярный'
'population';'население'
'portrait';'портрет'
'position';'позиция'
'possible';'возможный'
'possibly';'возможно'
'post';'почта'
'post office';'почтовое отделение'
'pour';'налить'
'power';'власть'
'powerful';'мощный'
'precise';'точный'
'predict';'предсказывать'
'prediction';'прогноз'
'prefer';'предпочитать'
'prepare';'подготовить'
'pressure';'давление'
'pretend';'притворяться'
'pretty';'симпатичный'
'prevent';'предотвращать'
'pride';'гордость'
'principal';'главный'
'print';'распечатать'
'printer';'принтер'
'private';'частный'
'pro';'про'
'probably';'вероятно'
'produce';'производить'
'product';'продукт'
'production';'производство'
'professional';'профессиональный'
'progressive';'прогрессивный'
'promise';'обещать'
'pronounce';'произносить'
'pronunciation';'произношение'
'proper';'правильный'
'provide';'предоставлять'
'psychologist';'психолог'
'public';'общественный'
'publish';'публиковать'
'pull';'тянуть'
'punctuation';'пунктуация'
'purple';'фиолетовый'
'purpose';'цель'
'pursue';'преследовать'
'quality';'качество'
'queen';'королева'
'quick';'быстрый'
'quietly';'тихо'
'quit';'покидать'
'quite';'довольно'
'quiz';'контрольный опрос'
'racket';'ракетка'
'raincoat';'плащ'
'raise';'поднимать'
'range';'диапазон'
'rap';'рэп'
'rate';'ставка'
'rather';'скорее'
'rating';'рейтинг'
'raw';'сырой'
'ray';'луч'
'reach';'достигать'
'realize';'осознать'
'receipt';'квитанция'
'receive';'получать'
'recent';'недавний'
'recently';'недавно'
'receptionist';'регистратор'
'record';'записывать'
'recycle';'перерабатывать'
'red';'красный'
'refer';'ссылаться'
'reflect';'отражать'
'refrigerator';'холодильник'
'regret';'сожалеть'
'regular';'обычный'
'regularly';'регулярно'
'relax';'расслабляться'
'relaxed';'расслабленный'
'release';'выпускать'
'remain';'оставаться'
'remind';'напоминать'
'remote';'удаленный'
'rent';'арендовать'
'repair';'ремонт'
'replace';'заменять'
'reply';'отвечать'
'report';'отчет'
'represent';'представлять'
'request';'запрос'
'research';'исследовать'
'response';'ответ'
'retire';'уходить в отставку'
'retired';'ушедший на пенсию'
'return';'возвращаться'
'reunion';'воссоединение'
'reveal';'раскрывать'
'rhythm';'ритм'
'right';'верно'
'right-hand';'правая рука'
'ring';'кольцо'
'road';'дорога'
'roast';'жарить'
'rob';'грабить'
'robbery';'грабеж'
'robin';'Робин'
'rock';'камень'
'roll';'рулон'
'romance';'романтика'
'romantic';'романтический'
'roof';'крыша'
'root';'корень'
'rope';'веревка'
'roughly';'грубо'
'round';'круглый'
'roundabout';'кольцевая развязка'
'royal';'королевский'
'rugby';'регби'
'ruin';'разорение'
'rumor';'слух'
'runner';'бегун'
'running';'бег'
'rush';'торопиться'
'sadly';'грустно'
'safe';'безопасный'
'sailing';'парусный спорт'
'sake';'ради'
'salt';'соль'
'sample';'образец'
'sandy';'Сэнди'
'satisfy';'удовлетворить'
'sauce';'соус'
'sausage';'колбаса'
'scale';'шкала'
'scarf';'шарф'
'scene';'сцена'
'scenery';'пейзаж'
'schedule';'расписание'
'schoolchild';'школьник'
'schoolwork';'школьная работа'
'scientific';'научный'
'scissors';'ножницы'
'scream';'крик'
'screen';'экран'
'screw';'винт'
'script';'сценарий'
'seafood';'морепродукты'
'search';'поиск'
'seaside';'морской'
'second';'второй'
'secret';'секрет'
'secretary';'секретарь'
'seed';'семя'
'seek';'искать'
'seem';'казаться'
'semester';'семестр'
'send';'отправлять'
'senior';'старший'
'sense';'смысл'
'separate';'отдельный'
'seriously';'серьезно'
'serve';'служить'
'set';'набор'
'several';'несколько'
'sew';'шить'
'shade';'оттенок'
'shadow';'тень'
'shall';'должен'
'shampoo';'шампунь'
'shape';'форма'
'share';'делиться'
'shell';'оболочка'
'shine';'светить'
'shock';'шок'
'shoot';'стрелять'
'shop assistant';'продавец-консультант'
'shore';'берег'
'short/shorts';'короткие/шорты'
'shot';'выстрелил'
'shout';'кричать'
'show';'показывать'
'shut';'закрыть'
'sightseeing';'осмотр достопримечательностей'
'significant';'значительный'
'silence';'тишина'
'silently';'молча'
'silly';'глупый'
'silver';'серебро'
'similar';'похожий'
'simple';'простой'
'simply';'просто'
'since';'с'
'singing';'пение'
'single';'одинокий'
'singular';'единственное число'
'sink';'раковина'
'sitting room';'гостиная'
'situation';'ситуация'
'skate';'кататься на коньках'
'skateboarding';'скейтбординг'
'skating';'катание на коньках'
'ski';'лыжи'
'skiing';'катание на лыжах'
'slave';'раб'
'sleepless';'бессонный'
'sleepy';'сонный'
'slice';'кусочек'
'slide';'слайд'
'slim';'стройный'
'slowly';'медленно'
'smoke';'курить'
'smooth';'гладкий'
'smoothly';'плавно'
'snack';'закуска'
'snow';'снег'
'snowboarding';'сноуборд'
'so';'так'
'soap';'мыло'
'society';'общество'
'sock';'носок'
'soda';'сода'
'soft';'мягкий'
'soft drink';'безалкогольный напиток'
'softly';'мягко'
'software';'программное обеспечение'
'soldier';'солдат'
'solution';'решение'
'somebody';'кто-нибудь'
'someday';'когда-нибудь'
'somewhere';'где-то'
'sound';'звук'
'source';'источник'
'south';'юг'
'space';'космос'
'spaceship';'космический корабль'
'spaghetti';'спагетти'
'speaker';'оратор'
'specific';'специфический'
'speed';'скорость'
'spell';'заклинание'
'spill';'разливать'
'splash';'всплеск'
'split';'расколоть'
'spoon';'ложка'
'sports center';'спортивный центр'
'spread';'распространение'
'square';'квадрат'
'stadium';'стадион'
'staff';'персонал'
'stair';'лестница'
'stamp';'штамп'
'stand';'стоять'
'state';'состояние'
'statement';'заявление'
'statue';'статуя'
'steak';'стейк'
'steal';'воровать'
'step';'шаг'
'still';'все еще'
'stomach';'желудок'
'stomachache';'боли в животе'
'storm';'шторм'
'stove';'печь'
'straight';'прямой'
'stranger';'незнакомец'
'strategy';'стратегия'
'strength';'сила'
'strike';'ударять'
'string';'нить'
'strongly';'сильно'
'structure';'структура'
'study';'изучать'
'stuff';'вещи'
'style';'стиль'
'succeed';'преуспевать'
'success';'успех'
'successfully';'успешно'
'such';'такой'
'sudden';'внезапный'
'suggest';'предлагать'
'suit';'подходить'
'suitable';'подходящий'
'suitcase';'чемодан'
'summary';'краткое содержание'
'sunflower';'подсолнечник'
'sunglasses';'солнцезащитные очки'
'sunlight';'солнечный свет'
'superlative';'превосходная степень'
'superstar';'суперзвезда'
'supper';'ужин'
'support';'поддерживать'
'sure';'конечно'
'surf';'заниматься серфингом'
'surfing';'серфинг'
'surname';'фамилия'
'surprised';'удивлен'
'surprising';'удивительно'
'survive';'выживать'
'swallow';'глотать'
'sweat';'пот'
'sweater';'свитер'
'sweet';'сладкий'
'sweetheart';'дорогой'
'swimming costume';'купальный костюм'
'swimsuit';'купальник'
'symbol';'символ'
'symphony';'симфония'
'system';'система'
'table tennis';'настольный теннис'
'tablespoon';'столовая ложка'
'talent';'талант'
'tap';'кран'
'tape';'лента'
'target';'цель'
'task';'задача'
'tear';'рвать'
'teenage';'подростковый'
'teenager';'подросток'
'telephone';'телефон'
'temperature';'температура'
'terrify';'пугать'
'terrorist';'террорист'
'text';'текст'
'text message';'текстовое сообщение'
'textbook';'учебник'
'theirs';'их'
'themselves';'сами себя'
'therefore';'поэтому'
'thief';'вор'
'third';'третий'
'thirsty';'испытывающий жажду'
'though';'хотя'
'thought';'мысль'
'thousand';'тысяча'
'throw';'бросать'
'thunderstorm';'гроза'
'tidy';'аккуратный'
'tie';'галстук'
'tights';'колготки'
'till';'до'
'timetable';'расписание'
'tip';'кончик'
'title';'заголовок'
'toast';'тост'
'toe';'палец на ноге'
'tone';'тон'
'tonight';'сегодня вечером'
'toothache';'зубная боль'
'toothbrush';'зубная щетка'
'tour';'тур'
'tour guide';'гид'
'tourist';'турист'
'toward';'к'
'track';'отслеживать'
'trade';'торговля'
'tradition';'традиция'
'traditional';'традиционный'
'traffic';'трафик'
'traffic light';'светофор'
'train';'тренироваться'
'training';'обучение'
'tram';'трамвай'
'trap';'ловушка'
'travel';'путешествовать'
'traveler';'путешественник'
'treasure';'сокровище'
'trick';'обманывать'
'trouble';'беда'
'truly';'действительно'
'trust';'доверять'
'truth';'правда'
'try';'пытаться'
'tune';'настраивать'
'twice';'дважды'
'uncertain';'неопределенный'
'uncomfortable';'неудобно'
'understand';'понимать'
'underwater';'под водой'
'uneasy';'непростой'
'unfair';'несправедливый'
'unforgettable';'незабываемый'
'unfortunately';'к сожалению'
'unhappy';'несчастный'
'unhealthy';'нездоровый'
'uniform';'униформа'
'unimportant';'неважно'
'unit';'единица'
'university';'университет'
'unknown';'неизвестный'
'unlike';'в отличие от'
'unnecessary';'ненужный'
'unpleasant';'неприятный'
'unusual';'необычный'
'up';'вверх'
'upon';'на'
'upset';'расстройство'
'upstairs';'наверху'
'use';'использовать'
'used';'использовал'
'useful';'полезный'
'usual';'обычный'
'valley';'долина'
'value';'ценить'
'verb';'глагол'
'video game';'видеоигра'
'view';'вид'
'village';'деревня'
