'english_word';'russian_translation'
'husband';'муж'
'I';'я'
'ice';'лед'
'ice cream';'мороженое'
'idea';'идея'
'ideal';'идеальный'
'if';'если'
'imagine';'представлять себе'
'important';'важный'
'in';'в'
'information';'информация'
'inside';'внутри'
'interested';'заинтересованный'
'interesting';'интересный'
'internet';'интернет'
'interview';'интервью'
'interviewer';'интервьюер'
'into';'в'
'introduce';'представлять'
'is';'является'
'island';'остров'
'it';'это'
'item';'элемент'
'its';'его'
'jacket';'куртка'
'January';'январь'
'jeans';'джинсы'
'jet';'реактивный самолет'
'jewelry';'ювелирные изделия'
'job';'работа'
'join';'присоединиться'
'judge';'судить'
'juice';'сок'
'July';'июль'
'jump';'прыгать'
'June';'июнь'
'just';'только'
'keep';'держать'
'key';'ключ'
'kick';'пинать'
'kid';'ребенок'
'kill';'убийство'
'kind';'добрый'
'king';'король'
'kiss';'целовать'
'kitchen';'кухня'
'kite';'летающий змей'
'knee';'колено'
'knife';'нож'
'know';'знать'
'lady';'леди'
'language';'язык'
'large';'большой'
'last name';'фамилия'
'late';'поздно'
'later';'позже'
'laugh';'смех'
'lazy';'ленивый'
'leader';'лидер'
'leaf';'лист'
'learn';'учиться'
'leave';'оставлять'
'left';'левый'
'leg';'нога'
'lesson';'урок'
'let';'позволять'
'letter';'письмо'
'library';'библиотека'
'life';'жизнь'
'light';'свет'
'like';'нравиться'
'lily';'Лили'
'line';'линия'
'lion';'лев'
'list';'список'
'listen';'слушать'
'little';'маленький'
'live';'жить'
'living';'жизнь'
'living room';'гостиная'
'lonely';'одинокий'
'long';'длинный'
'look';'смотреть'
'lot';'много'
'love';'любовь'
'lovely';'прекрасный'
'luck';'удача'
'lucky';'удачливый'
'lunch';'обед'
'machine';'машина'
'magazine';'журнал'
'mail';'почта'
'make';'делать'
'man';'мужчина'
'many';'много'
'map';'карта'
'march';'маршировать'
'match';'соответствовать'
'math';'математика'
'matter';'иметь значение'
'may';'может'
'maybe';'может быть'
'me';'мне'
'meal';'еда'
'mean';'иметь в виду'
'meat';'мясо'
'medicine';'лекарство'
'meet';'встретиться'
'meeting';'встреча'
'memory';'память'
'merry';'веселый'
'message';'сообщение'
'middle';'середина'
'milk';'молоко'
'mind';'разум'
'mine';'мой'
'minute';'минута'
'Miss';'Скучать'
'mobile';'мобильный'
'mobile phone';'мобильный телефон'
'mom';'мама'
'moment';'момент'
'mommy';'мама'
'monday';'понедельник'
'money';'деньги'
'monkey';'обезьяна'
'month';'месяц'
'moon';'луна'
'more';'более'
'morning';'утро'
'most';'большинство'
'mother';'мать'
'mountain';'гора'
'mouse';'мышь'
'mouth';'рот'
'move';'двигаться'
'movie';'фильм'
'Mr';'мистер'
'Mrs';'миссис'
'much';'много'
'mum';'мама'
'music';'музыка'
'musician';'музыкант'
'must';'должен'
'my';'мой'
'name';'имя'
'nationality';'национальность'
'near';'около'
'neck';'шея'
'need';'нуждаться'
'neighbor';'сосед'
'never';'никогда'
'new';'новый'
'news';'новости'
'newspaper';'газета'
'nice';'хороший'
'night';'ночь'
'nine';'девять'
'nineteen';'девятнадцать'
'ninety';'девяносто'
'no';'нет'
'noise';'шум'
'nose';'нос'
'not';'нет'
'note';'примечание'
'notebook';'блокнот'
'nothing';'ничего'
'November';'ноябрь'
'now';'сейчас'
'number';'число'
'nurse';'медсестра'
'o\'clock';'час'
'October';'октябрь'
'of';'из'
'off';'выключенный'
'office';'офис'
'officer';'офицер'
'often';'часто'
'old';'старый'
'olympics';'олимпийские игры'
'on';'на'
'once';'один раз'
'one';'один'
'only';'только'
'open';'открыть'
'opera';'опера'
'or';'или'
'orange';'апельсин'
'order';'заказ'
'other';'другой'
'our';'наш'
'ours';'наш'
'out';'вне'
'outside';'снаружи'
'over';'над'
'own';'собственный'
'owner';'владелец'
'p.m.';'вечера'
'page';'страница'
'paint';'краска'
'painting';'рисование'
'pair';'пара'
'palace';'дворец'
'pants';'брюки'
'paper';'бумага'
'paragraph';'абзац'
'pardon';'прощение'
'parent';'родитель'
'park';'парк'
'partner';'партнер'
'party';'вечеринка'
'past';'прошлое'
'pay';'платить'
'peace';'мир'
'pen';'ручка'
'pencil';'карандаш'
'people';'люди'
'period';'период'
'person';'человек'
'personal';'личный'
'pet';'домашний питомец'
'phone';'телефон'
'photo';'фото'
'piano';'фортепиано'
'pick';'выбирать'
'picnic';'пикник'
'picture';'картина'
'piece';'кусок'
'pig';'свинья'
'pink';'розовый'
'pizza';'пицца'
'place';'место'
'plan';'план'
'plane';'самолет'
'play';'играть'
'player';'игрок'
'please';'пожалуйста'
'pleasure';'удовольствие'
'pocket';'карман'
'poem';'стихотворение'
'point';'точка'
'pollution';'загрязнение'
'pool';'бассейн'
'poor';'бедный'
'pop';'поп'
'post';'почта'
'poster';'плакат'
'potato';'картофель'
'practice';'упражняться'
'practice';'практика'
'pray';'молиться'
'present';'подарок'
'pretty';'симпатичный'
'price';'цена'
'prince';'принц'
'princess';'принцесса'
'problem';'проблема'
'program';'программа'
'purple';'фиолетовый'
'push';'толкать'
'put';'помещать'
'quarter';'четверть'
'question';'вопрос'
'quickly';'быстро'
'quiet';'тихий'
'rabbit';'кролик'
'radio';'радио'
'rain';'дождь'
'rainy';'дождливый'
'rat';'крыса'
'read';'читать'
'reader';'читатель'
'reading';'чтение'
'ready';'готовый'
'real';'настоящий'
'really';'Действительно'
'reason';'причина'
'red';'красный'
'remember';'помнить'
'repeat';'повторить'
'reporter';'репортер'
'restaurant';'ресторан'
'result';'результат'
'review';'обзор'
'ribbon';'лента'
'rice';'рис'
'rich';'богатый'
'ride';'поездка'
'right';'верно'
'ring';'кольцо'
'river';'река'
'role';'роль'
'room';'комната'
'rose';'роза'
'row';'ряд'
'rude';'грубый'
'rule';'правило'
'ruler';'правитель'
'run';'бегать'
'sad';'грустный'
'sailor';'матрос'
'salad';'салат'
'sale';'распродажа'
'same';'такой же'
'sandwich';'бутерброд'
'Saturday';'Суббота'
'save';'сохранять'
'saw';'пила'
'say';'сказать'
'school';'школа'
'science';'наука'
'scientist';'учёный'
'sea';'море'
'seat';'сиденье'
'second';'второй'
'section';'раздел'
'see';'видеть'
'self';'себя'
'sell';'продавать'
'sentence';'предложение'
'september';'сентябрь'
'set';'набор'
'seven';'семь'
'seventeen';'семнадцать'
'seventy';'семьдесят'
'shake';'трясти'
'share';'делиться'
'she';'она'
'sheep';'овца'
'shelf';'полка'
'ship';'корабль'
'shirt';'рубашка'
'shoe';'туфля'
'shop';'магазин'
'shopping';'шопинг'
'short';'короткий'
'should';'должен'
'shoulder';'плечо'
'show';'показывать'
'shower';'душ'
'shy';'застенчивый'
'sick';'больной'
'side';'сторона'
'sight';'взгляд'
'sign';'знак'
'sing';'петь'
'singer';'певец'
'sir';'сэр'
'sister';'сестра'
'sit';'сидеть'
'site';'сайт'
'six';'шесть'
'sixteen';'шестнадцать'
'sixty';'шестьдесят'
'size';'размер'
'skill';'навык'
'skirt';'юбка'
'sky';'небо'
'sleep';'спать'
'slow';'медленный'
'small';'маленький'
'smart';'умный'
'smell';'запах'
'smile';'улыбка'
'smith';'Смит'
'smoke';'курить'
'smoking';'курение'
'snake';'змея'
'snow';'снег'
'snowy';'снежный'
'so';'так'
'soccer';'футбольный'
'social';'социальный'
'sofa';'диван'
'solve';'решать'
'some';'некоторый'
'someone';'кто-то'
'something';'что-нибудь'
'son';'сын'
'song';'песня'
'soon';'скоро'
'sorry';'извини'
'soup';'суп'
'speak';'говорить'
'special';'особенный'
'speech';'речь'
'spell';'заклинание'
'spend';'тратить'
'sport';'спорт'
'spot';'место'
'spring';'весна'
'spy';'шпион'
'stage';'этап'
'stand';'стоять'
'star';'звезда'
'start';'начинать'
'station';'станция'
'stay';'оставаться'
'step';'шаг'
'still';'все еще'
'stone';'камень'
'stop';'останавливаться'
'store';'магазин'
'story';'история'
'straight';'прямой'
'strange';'странный'
'street';'улица'
'strict';'строгий'
'strong';'сильный'
'student';'студент'
'study';'изучать'
'subject';'предмет'
'subway';'метро'
'successful';'успешный'
'sugar';'сахар'
'suggestion';'предположение'
'sum';'сумма'
'summer';'лето'
'sun';'солнце'
'Sunday';'Воскресенье'
'sunny';'солнечный'
'sunshine';'солнечный свет'
'super';'супер'
'supermarket';'супермаркет'
'sure';'конечно'
'surf';'заниматься серфингом'
'surprise';'сюрприз'
'survey';'опрос'
'sweet';'сладкий'
'swim';'плавать'
'swimming';'плавание'
'swimming pool';'бассейн'
'table';'стол'
'take';'брать'
'talk';'разговаривать'
'tall';'высокий'
'taxi';'такси'
'tea';'чай'
'teach';'учить'
'teacher';'учитель'
'team';'команда'
'technology';'технология'
'telephone';'телефон'
'television';'телевидение'
'tell';'рассказывать'
'temple';'храм'
'ten';'десять'
'tennis';'теннис'
'terrible';'ужасный'
'test';'тест'
'than';'чем'
'thank';'благодарить'
'thanks';'Спасибо'
'that';'что'
'the';'тот'
'theater';'театр'
'their';'их'
'them';'их'
'then';'затем'
'there';'там'
'these';'эти'
'they';'они'
'thick';'толстый'
'thin';'тонкий'
'thing';'вещь'
'think';'думать'
'thirteen';'тринадцать'
'thirty';'тридцать'
'this';'этот'
'those';'те'
'three';'три'
'through';'через'
'throw';'бросать'
'Thursday';'Четверг'
'ticket';'билет'
'tiger';'тигр'
'tight';'тугой'
'time';'время'
'tired';'усталый'
'to';'к'
'today';'сегодня'
'together';'вместе'
'toilet';'туалет'
'tomato';'помидор'
'tomorrow';'завтра'
'tonight';'сегодня вечером'
'too';'слишком'
'tool';'инструмент'
'tooth';'зуб'
'top';'вершина'
'topic';'тема'
'touch';'трогать'
'towel';'полотенце'
'tower';'башня'
'town';'город'
'toy';'игрушка'
'train';'тренироваться'
'travel';'путешествовать'
'tree';'дерево'
'trip';'путешествие'
'trousers';'брюки'
'truck';'грузовик'
'true';'истинный'
'try';'пытаться'
't-shirt';'футболка'
'tube';'трубка'
'tuesday';'вторник'
'turkey';'турция'
'turn';'повернуть'
'TV';'ТВ'
'twelve';'двенадцать'
'twenty';'двадцать'
'two';'два'
'type';'тип'
'ugly';'уродливый'
'umbrella';'зонтик'
'uncle';'дядя'
'under';'под'
'underline';'подчеркнуть'
'until';'до'
'up';'вверх'
'us';'нас'
'use';'использовать'
'usually';'обычно'
'vacation';'отпуск'
'vase';'ваза'
'vegetable';'овощной'
'very';'очень'
'video';'видео'
'visit';'посещать'
'volleyball';'волейбол'
'vote';'голосование'
'wait';'ждать'
'waiter';'официант'
'waitress';'официантка'
'wake';'будить'
'walk';'ходить'
'wall';'стена'
'want';'хотеть'
'war';'война'
'warm';'теплый'
'was';'был'
'wash';'стирать'
'watch';'смотреть'
'water';'вода'
'way';'способ'
'we';'мы'
'wear';'носить'
'weather';'погода'
'Wednesday';'Среда'
'week';'неделя'
'weekend';'выходные'
'welcome';'добро пожаловать'
'well';'хорошо'
'were';'были'
'what';'что'
'wheel';'колесо'
'when';'когда'
'where';'где'
'which';'который'
'white';'белый'
'who';'ВОЗ'
'whose';'чей'
'why';'почему'
'wife';'жена'
'will';'воля'
'win';'победить'
'wind';'ветер'
'window';'окно'
'winter';'зима'
'wish';'желание'
'with';'с'
'woman';'женщина'
'wonderful';'замечательный'
'word';'слово'
'work';'работа'
'worker';'рабочий'
'world';'мир'
'worry';'волноваться'
'would';'бы'
'write';'писать'
'writer';'писатель'
'wrong';'неправильный'
'yard';'площадка'
'year';'год'
'yellow';'желтый'
'yes';'да'
'yesterday';'вчера'
'yet';'еще'
'yogurt';'йогурт'
'you';'ты'
'young';'молодой'
'your';'твой'
'yours';'твой'
'yourself';'сам'
'zoo';'зоопарк'
