topic_slug,part_of_speech,level,translations,meta
emotions,adjective,1,"{""en"":""angry"",""ru"":""злой"",""et"":""vihane"",""de"":""wütend"",""no"":""sint""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
animals,noun,1,"{""en"":""animal"",""ru"":""животное"",""et"":""loom"",""de"":""Tier"",""no"":""dyr""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,pronoun,1,"{""en"":""another"",""ru"":""другой"",""et"":""teine"",""de"":""ein anderer"",""no"":""en annen""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""answer"",""ru"":""отвечать"",""et"":""vastama"",""de"":""Antwort"",""no"":""svare""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,pronoun,1,"{""en"":""any"",""ru"":""любой"",""et"":""ükskõik milline"",""de"":""irgendein"",""no"":""noen""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,pronoun,1,"{""en"":""anybody"",""ru"":""кто-нибудь"",""et"":""keegi"",""de"":""irgendjemand"",""no"":""hvem som helst""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,pronoun,1,"{""en"":""anyone"",""ru"":""любой"",""et"":""keegi"",""de"":""irgendjemand"",""no"":""hvem som helst""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,pronoun,1,"{""en"":""anything"",""ru"":""что-либо"",""et"":""midagi"",""de"":""irgendetwas"",""no"":""hva som helst""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
food,noun,1,"{""en"":""apple"",""ru"":""яблоко"",""et"":""õun"",""de"":""Apfel"",""no"":""eple""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
time,noun,1,"{""en"":""April"",""ru"":""апрель"",""et"":""aprill"",""de"":""April"",""no"":""april""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""apron"",""ru"":""фартук"",""et"":""põll"",""de"":""Schürze"",""no"":""forkle""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""are"",""ru"":""являются"",""et"":""on"",""de"":""sind"",""no"":""er""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
body,noun,1,"{""en"":""arm"",""ru"":""рука"",""et"":""arm"",""de"":""Arm"",""no"":""arm""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""around"",""ru"":""вокруг"",""et"":""ümber"",""de"":""herum"",""no"":""rundt""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""arrive"",""ru"":""приезжать"",""et"":""saabuma"",""de"":""ankommen"",""no"":""ankomme""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""art"",""ru"":""искусство"",""et"":""art"",""de"":""Kunst"",""no"":""kunst""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""article"",""ru"":""статья"",""et"":""artiklit"",""de"":""Artikel"",""no"":""artikkel""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""as"",""ru"":""как"",""et"":""nagu"",""de"":""als"",""no"":""som""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""ask"",""ru"":""просить"",""et"":""küsi"",""de"":""fragen"",""no"":""spør""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""at"",""ru"":""в"",""et"":""juures"",""de"":""bei"",""no"":""kl""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
time,noun,1,"{""en"":""August"",""ru"":""Август"",""et"":""augustil"",""de"":""August"",""no"":""august""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
family,noun,1,"{""en"":""aunt"",""ru"":""тетя"",""et"":""tädi"",""de"":""Tante"",""no"":""tante""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
time,noun,1,"{""en"":""autumn"",""ru"":""осень"",""et"":""sügis"",""de"":""Herbst"",""no"":""høst""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""awake"",""ru"":""бодрствующий"",""et"":""ärkvel"",""de"":""wach"",""no"":""våken""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adverb,1,"{""en"":""away"",""ru"":""прочь"",""et"":""ära"",""de"":""weg"",""no"":""bort""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
family,noun,1,"{""en"":""baby"",""ru"":""малыш"",""et"":""beebi"",""de"":""Baby"",""no"":""baby""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adverb,1,"{""en"":""back"",""ru"":""назад"",""et"":""tagasi"",""de"":""zurück"",""no"":""tilbake""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
emotions,adjective,1,"{""en"":""bad"",""ru"":""плохой"",""et"":""halb"",""de"":""schlecht"",""no"":""dårlig""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""bag"",""ru"":""сумка"",""et"":""kott"",""de"":""Tasche"",""no"":""bag""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
sport,noun,1,"{""en"":""ball"",""ru"":""мяч"",""et"":""pall"",""de"":""Kugel"",""no"":""ball""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
food,noun,1,"{""en"":""banana"",""ru"":""банан"",""et"":""banaan"",""de"":""Banane"",""no"":""banan""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""band"",""ru"":""группа"",""et"":""bänd"",""de"":""Band"",""no"":""band""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
places,noun,1,"{""en"":""bank"",""ru"":""банк"",""et"":""pank"",""de"":""Bank"",""no"":""bank""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
places,noun,1,"{""en"":""bar"",""ru"":""бар"",""et"":""baar"",""de"":""Bar"",""no"":""bar""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
sport,noun,1,"{""en"":""baseball"",""ru"":""бейсбол"",""et"":""pesapall"",""de"":""Baseball"",""no"":""baseball""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
sport,noun,1,"{""en"":""basketball"",""ru"":""баскетбол"",""et"":""korvpalli"",""de"":""Basketball"",""no"":""basketball""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
sport,noun,1,"{""en"":""bat"",""ru"":""летучая мышь"",""et"":""nahkhiir"",""de"":""Fledermaus"",""no"":""flaggermus""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""bath"",""ru"":""ванна"",""et"":""vann"",""de"":""Bad"",""no"":""bad""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
places,noun,1,"{""en"":""bathroom"",""ru"":""ванная комната"",""et"":""vannituba"",""de"":""Badezimmer"",""no"":""bad""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""be"",""ru"":""быть"",""et"":""olla"",""de"":""sein"",""no"":""være""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
places,noun,1,"{""en"":""beach"",""ru"":""пляж"",""et"":""rand"",""de"":""Strand"",""no"":""strand""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
food,noun,1,"{""en"":""bean"",""ru"":""боб"",""et"":""uba"",""de"":""Bohne"",""no"":""bønne""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
animals,noun,1,"{""en"":""bear"",""ru"":""медведь"",""et"":""karu"",""de"":""Bär"",""no"":""bjørn""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
emotions,adjective,1,"{""en"":""beautiful"",""ru"":""красивый"",""et"":""ilus"",""de"":""schön"",""no"":""vakkert""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,conjunction,1,"{""en"":""because"",""ru"":""потому что"",""et"":""sest"",""de"":""weil"",""no"":""fordi""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""become"",""ru"":""становиться"",""et"":""muutuda"",""de"":""werden"",""no"":""bli""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""bed"",""ru"":""кровать"",""et"":""voodi"",""de"":""Bett"",""no"":""seng""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
places,noun,1,"{""en"":""bedroom"",""ru"":""спальня"",""et"":""magamistuba"",""de"":""Schlafzimmer"",""no"":""soverom""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
animals,noun,1,"{""en"":""bee"",""ru"":""пчела"",""et"":""mesilane"",""de"":""Biene"",""no"":""bie""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
food,noun,1,"{""en"":""beef"",""ru"":""говядина"",""et"":""veiseliha"",""de"":""Rindfleisch"",""no"":""biff""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""before"",""ru"":""до"",""et"":""enne"",""de"":""vor"",""no"":""før""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""begin"",""ru"":""начинать"",""et"":""alustada"",""de"":""beginnen"",""no"":""begynne""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""behind"",""ru"":""позади"",""et"":""taga"",""de"":""hinten"",""no"":""bak""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""believe"",""ru"":""полагать"",""et"":""uskuda"",""de"":""glaube"",""no"":""tro""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""bell"",""ru"":""колокол"",""et"":""kelluke"",""de"":""Glocke"",""no"":""bjelle""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""below"",""ru"":""ниже"",""et"":""allpool"",""de"":""unten"",""no"":""nedenfor""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""beside"",""ru"":""рядом"",""et"":""kõrval"",""de"":""daneben"",""no"":""ved siden av""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adjective,1,"{""en"":""best"",""ru"":""лучший"",""et"":""parim"",""de"":""am besten"",""no"":""best""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adjective,1,"{""en"":""better"",""ru"":""лучше"",""et"":""parem"",""de"":""besser"",""no"":""bedre""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""between"",""ru"":""между"",""et"":""vahel"",""de"":""dazwischen"",""no"":""mellom""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
transport,noun,1,"{""en"":""bicycle"",""ru"":""велосипед"",""et"":""jalgratas"",""de"":""Fahrrad"",""no"":""sykkel""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adjective,1,"{""en"":""big"",""ru"":""большой"",""et"":""suur"",""de"":""groß"",""no"":""stor""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
transport,noun,1,"{""en"":""bike"",""ru"":""велосипед"",""et"":""jalgratas"",""de"":""Fahrrad"",""no"":""sykkel""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
animals,noun,1,"{""en"":""bird"",""ru"":""птица"",""et"":""lind"",""de"":""Vogel"",""no"":""fugl""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""birth"",""ru"":""рождение"",""et"":""sündi"",""de"":""Geburt"",""no"":""fødsel""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
time,noun,1,"{""en"":""birthday"",""ru"":""день рождения"",""et"":""sünnipäev"",""de"":""Geburtstag"",""no"":""bursdag""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
food,noun,1,"{""en"":""biscuit"",""ru"":""бисквит"",""et"":""biskviit"",""de"":""Keks"",""no"":""kjeks""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
colors,adjective,1,"{""en"":""black"",""ru"":""черный"",""et"":""must"",""de"":""schwarz"",""no"":""svart""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""blank"",""ru"":""пустой"",""et"":""tühi"",""de"":""leer"",""no"":""blank""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""block"",""ru"":""блокировать"",""et"":""blokk"",""de"":""blockieren"",""no"":""blokk""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""blow"",""ru"":""дуть"",""et"":""löök"",""de"":""Schlag"",""no"":""blåse""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
colors,adjective,1,"{""en"":""blue"",""ru"":""синий"",""et"":""sinine"",""de"":""blau"",""no"":""blått""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""board"",""ru"":""доска"",""et"":""juhatus"",""de"":""Brett"",""no"":""bord""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
transport,noun,1,"{""en"":""boat"",""ru"":""лодка"",""et"":""paat"",""de"":""Boot"",""no"":""båt""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
body,noun,1,"{""en"":""body"",""ru"":""тело"",""et"":""keha"",""de"":""Körper"",""no"":""kroppen""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
body,noun,1,"{""en"":""bone"",""ru"":""кость"",""et"":""luu"",""de"":""Knochen"",""no"":""bein""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""book"",""ru"":""книга"",""et"":""raamat"",""de"":""Buch"",""no"":""bok""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
places,noun,1,"{""en"":""bookstore"",""ru"":""книжный магазин"",""et"":""raamatupood"",""de"":""Buchhandlung"",""no"":""bokhandel""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
emotions,adjective,1,"{""en"":""boring"",""ru"":""скучный"",""et"":""igav"",""de"":""langweilig"",""no"":""kjedelig""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""borrow"",""ru"":""занимать"",""et"":""laenata"",""de"":""leihen"",""no"":""låne""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,pronoun,1,"{""en"":""both"",""ru"":""оба"",""et"":""mõlemad"",""de"":""beides"",""no"":""begge deler""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""bottle"",""ru"":""бутылка"",""et"":""pudel"",""de"":""Flasche"",""no"":""flaske""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""bottom"",""ru"":""нижний"",""et"":""põhja"",""de"":""unten"",""no"":""bunnen""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""bowl"",""ru"":""чаша"",""et"":""kaussi"",""de"":""Schüssel"",""no"":""bolle""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""box"",""ru"":""коробка"",""et"":""kasti"",""de"":""Box"",""no"":""boks""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
family,noun,1,"{""en"":""boy"",""ru"":""мальчик"",""et"":""poiss"",""de"":""Junge"",""no"":""gutt""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
family,noun,1,"{""en"":""boyfriend"",""ru"":""парень"",""et"":""poiss-sõber"",""de"":""Freund"",""no"":""kjæreste""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
body,noun,1,"{""en"":""brain"",""ru"":""мозг"",""et"":""aju"",""de"":""Gehirn"",""no"":""hjernen""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
